ID,Year_Birth,Marital_Status, Income ,Kidhome,Teenhome,Dt_Customer
10352,1963,Widow,"$34,213.00 ",1,1,9/7/2012
7919,1976,Together,"$72,335.00 ",0,0,8/13/2012
4114,1964,Married,"$79,143.00 ",0,0,8/11/2012
7990,1947,Married,"$27,469.00 ",0,0,8/2/2012
9888,1969,Together,"$68,695.00 ",0,0,6/25/2014
4399,1969,Together,"$68,695.00 ",0,0,6/25/2014
4452,1957,Single,"$50,388.00 ",0,1,5/28/2014
4785,1970,Together,"$77,622.00 ",0,2,4/14/2014
8461,1962,Divorced,"$46,102.00 ",2,1,3/10/2014
3878,1980,Single,"$31,859.00 ",1,0,2/27/2014
9612,1987,Single,"$23,830.00 ",0,0,2/7/2014
4098,1973,Married,"$24,639.00 ",1,1,1/28/2014
158,1945,Together,"$71,604.00 ",0,0,11/17/2013
3896,1984,Married,"$27,255.00 ",1,0,11/7/2013
9970,1977,Together,"$55,375.00 ",0,1,10/17/2013
4002,1960,Married,"$77,037.00 ",0,1,10/13/2013
10914,1970,Single,"$24,163.00 ",1,1,10/12/2013
7279,1969,Together,"$69,476.00 ",0,0,9/30/2013
10582,1979,Married,"$72,063.00 ",0,1,7/3/2013
4470,1962,Married,"$58,646.00 ",0,1,6/10/2013
6183,1962,Married,"$58,646.00 ",0,1,6/10/2013
6379,1949,Widow,"$47,570.00 ",1,1,5/29/2013
8601,1980,Married,"$80,011.00 ",0,1,4/29/2013
4827,1956,Single,"$54,998.00 ",0,1,3/10/2013
6715,1948,Single,"$60,200.00 ",0,1,1/2/2013
10676,1982,Married,"$63,211.00 ",0,0,11/2/2012
1041,1973,Single,"$48,432.00 ",0,1,10/18/2012
492,1973,YOLO,"$48,432.00 ",0,1,10/18/2012
11133,1973,YOLO,"$48,432.00 ",0,1,10/18/2012
4491,1949,Married,"$62,845.00 ",1,1,10/1/2012
873,1949,Married,"$62,845.00 ",1,1,10/1/2012
1631,1965,Together,"$65,220.00 ",0,0,9/3/2012
8278,1990,Married,"$74,214.00 ",0,0,8/26/2012
6815,1980,Married,"$96,547.00 ",0,0,5/23/2014
254,1955,Together,"$53,863.00 ",0,1,5/17/2014
1349,1970,Married,"$50,447.00 ",2,0,4/21/2014
2534,1953,Married,"$37,716.00 ",0,1,4/21/2014
2130,1982,Together,"$45,203.00 ",2,0,3/23/2014
2296,1975,Married,"$37,368.00 ",1,0,12/16/2013
3799,1955,Married,"$67,225.00 ",0,1,11/26/2013
11084,1976,Together,"$65,104.00 ",0,1,11/14/2013
5172,1976,Together,"$65,104.00 ",0,1,11/14/2013
9504,1949,Married,"$81,698.00 ",0,0,11/6/2013
850,1968,Single,"$70,566.00 ",0,1,10/6/2013
4477,1958,Together,"$69,096.00 ",0,1,9/27/2013
1945,1962,Married,"$71,434.00 ",0,1,9/18/2013
7685,1978,Married,"$33,039.00 ",1,0,9/9/2013
6310,1978,Married,"$33,039.00 ",1,0,9/9/2013
10832,1958,Together,"$46,610.00 ",0,0,7/18/2013
3025,1958,Single,"$49,967.00 ",0,1,7/8/2013
2404,1976,Married,"$53,359.00 ",1,1,5/27/2013
8581,1971,Married,"$49,505.00 ",1,1,3/5/2013
8755,1946,Married,"$68,657.00 ",0,0,2/20/2013
10177,1954,Divorced,"$72,071.00 ",0,1,2/14/2013
2429,1954,Divorced,"$72,071.00 ",0,1,2/14/2013
8920,1967,Single,"$59,235.00 ",1,0,1/12/2013
8430,1957,Together,"$21,994.00 ",0,1,12/24/2012
8619,1957,Together,"$21,994.00 ",0,1,12/24/2012
8996,1957,Married,,2,1,11/19/2012
7233,1972,Married,"$69,209.00 ",0,0,9/17/2012
6678,1989,Together,"$31,928.00 ",1,0,3/28/2014
830,1987,Single,"$74,004.00 ",0,0,2/24/2014
6365,1987,Married,"$30,390.00 ",0,0,9/2/2013
6770,1985,Married,"$21,355.00 ",1,0,8/20/2013
2261,1969,Married,"$26,304.00 ",1,0,6/23/2013
1031,1989,Married,"$85,710.00 ",0,0,5/5/2013
10089,1974,Divorced,"$102,692.00 ",0,0,4/5/2013
9256,1971,Single,"$58,350.00 ",0,1,1/4/2013
10641,1978,Single,"$7,500.00 ",1,1,12/27/2012
624,1984,Single,"$18,890.00 ",0,0,11/10/2012
4211,1986,Married,"$20,425.00 ",1,0,10/29/2012
1407,1986,Married,"$20,425.00 ",1,0,10/29/2012
10356,1957,Divorced,"$41,437.00 ",1,1,9/22/2012
9323,1949,Together,"$49,912.00 ",0,1,9/7/2012
1146,1949,Together,"$49,912.00 ",0,1,9/7/2012
6343,1959,Married,"$79,823.00 ",0,1,3/31/2014
8545,1954,Divorced,"$85,683.00 ",0,0,3/21/2014
8275,1965,Divorced,"$47,025.00 ",1,1,2/9/2014
10673,1976,Married,"$68,397.00 ",0,1,11/17/2013
8799,1984,Married,"$38,175.00 ",1,0,9/23/2013
67,1972,Single,"$46,423.00 ",1,1,9/18/2013
9923,1972,Single,"$46,423.00 ",1,1,9/18/2013
2814,1976,Together,"$30,560.00 ",1,0,6/27/2013
2711,1976,Together,"$30,560.00 ",1,0,6/27/2013
4320,1979,Single,"$60,152.00 ",0,1,3/28/2013
10451,1965,Together,"$29,672.00 ",1,1,3/12/2013
4198,1965,Together,"$29,672.00 ",1,1,3/12/2013
10814,1947,Together,"$70,321.00 ",0,0,1/16/2013
944,1962,Married,"$56,181.00 ",0,1,1/8/2013
8151,1990,Married,"$24,279.00 ",0,0,12/29/2012
6184,1969,Married,"$68,462.00 ",0,0,12/12/2012
3498,1976,Married,"$55,424.00 ",0,1,11/25/2012
2870,1973,Married,"$49,094.00 ",0,1,9/21/2012
7342,1961,Widow,"$59,184.00 ",0,1,9/9/2012
1911,1987,Together,"$67,430.00 ",0,0,9/5/2012
10862,1960,Married,"$30,522.00 ",0,1,8/17/2012
2546,1977,Single,"$31,878.00 ",0,1,6/22/2014
3005,1992,Single,"$83,528.00 ",0,0,5/1/2014
8318,1979,Together,"$90,300.00 ",0,0,1/3/2014
2930,1978,Single,"$68,092.00 ",0,0,12/16/2013
8216,1972,Married,"$53,761.00 ",1,1,10/11/2013
1212,1973,Married,"$52,845.00 ",1,0,8/13/2013
2541,1976,Married,"$24,027.00 ",1,0,6/9/2013
10659,1979,Together,"$7,500.00 ",1,0,5/7/2013
10905,1955,Together,"$42,586.00 ",1,1,10/29/2012
8910,1955,Together,"$42,586.00 ",1,1,10/29/2012
7349,1973,Together,"$9,722.00 ",1,0,10/2/2012
7872,1975,Married,"$86,836.00 ",0,0,9/12/2012
4290,1972,Married,"$30,467.00 ",1,0,3/19/2014
7408,1952,Married,"$54,549.00 ",0,1,3/3/2014
9986,1982,Together,"$19,444.00 ",1,0,2/22/2014
8235,1956,Together,"$69,245.00 ",0,1,1/24/2014
10949,1963,Divorced,"$72,968.00 ",0,0,12/16/2013
7284,1953,Married,"$48,686.00 ",1,2,12/4/2013
9529,1990,Married,"$73,687.00 ",0,0,11/28/2013
9930,1944,Single,"$82,716.00 ",0,0,11/5/2013
10270,1981,Married,"$35,523.00 ",1,0,10/3/2013
760,1975,Divorced,"$60,554.00 ",1,0,8/9/2013
5519,1956,Together,"$64,090.00 ",0,1,8/7/2013
232,1965,Single,"$61,559.00 ",0,1,7/17/2013
3009,1962,Widow,"$71,670.00 ",0,0,7/9/2013
6518,1951,Widow,"$67,680.00 ",0,1,6/11/2013
10669,1981,Married,"$54,386.00 ",0,1,5/17/2013
5682,1953,Single,"$64,108.00 ",0,1,3/23/2013
1570,1951,Together,"$69,702.00 ",0,1,2/19/2013
1497,1952,Single,"$47,958.00 ",0,1,1/19/2013
9723,1960,Married,"$67,716.00 ",0,1,1/10/2013
7261,1971,Together,"$34,600.00 ",1,1,1/1/2013
2452,1971,Together,"$34,600.00 ",1,1,1/1/2013
5621,1969,Married,"$48,752.00 ",1,1,12/12/2012
10995,1988,Married,"$15,716.00 ",1,0,11/12/2012
7373,1952,Divorced,"$46,610.00 ",0,2,10/29/2012
5331,1977,Married,"$74,985.00 ",0,0,9/11/2012
263,1945,Single,"$45,576.00 ",0,0,5/28/2014
4619,1945,Single,"$113,734.00 ",0,0,5/28/2014
940,1987,Single,"$57,100.00 ",1,0,5/18/2014
10084,1972,Married,"$24,434.00 ",2,0,5/18/2014
6019,1971,Married,"$37,126.00 ",1,0,3/30/2014
1463,1958,Single,"$45,160.00 ",1,1,3/29/2014
6424,1977,Together,"$33,178.00 ",1,0,1/30/2014
8233,1950,Widow,"$64,866.00 ",0,1,1/26/2014
1515,1975,Together,"$34,176.00 ",0,1,1/22/2014
10855,1968,Single,"$50,014.00 ",1,0,1/22/2014
10909,1948,Married,"$92,344.00 ",0,0,1/15/2014
3376,1970,Divorced,"$55,282.00 ",1,0,12/13/2013
10232,1963,Divorced,"$48,799.00 ",0,1,11/5/2013
5547,1982,Married,"$84,169.00 ",0,0,8/7/2013
8362,1982,Married,"$84,169.00 ",0,0,8/7/2013
3524,1971,Single,"$39,763.00 ",1,0,8/4/2013
10095,1975,Divorced,"$74,165.00 ",0,0,5/1/2013
8897,1965,Single,"$42,720.00 ",1,1,4/24/2013
466,1944,Married,"$65,275.00 ",0,0,4/3/2013
11025,1961,Married,"$36,443.00 ",1,1,2/3/2013
2387,1952,Together,"$43,776.00 ",1,1,2/3/2013
1618,1965,Together,"$56,046.00 ",0,0,1/2/2013
25,1958,Married,"$65,148.00 ",0,1,11/16/2012
3277,1955,Divorced,"$49,431.00 ",0,1,8/3/2012
8566,1961,Together,"$32,583.00 ",1,1,6/15/2014
2634,1979,Single,"$16,653.00 ",1,0,4/18/2014
8036,1971,Together,"$26,850.00 ",1,1,4/18/2014
8159,1968,Married,"$51,287.00 ",1,1,4/1/2014
7628,1973,Married,"$43,050.00 ",1,0,3/18/2014
9597,1969,Married,"$73,448.00 ",0,0,2/10/2014
1384,1992,Married,"$17,256.00 ",1,0,11/23/2013
10150,1961,Single,"$86,429.00 ",0,0,11/21/2013
3885,1983,Married,"$33,569.00 ",1,0,10/16/2013
11003,1980,Together,"$25,130.00 ",1,0,10/2/2013
8026,1952,Married,"$62,998.00 ",0,1,9/30/2013
577,1976,Together,"$26,907.00 ",1,1,8/20/2013
8702,1976,Together,"$26,907.00 ",1,1,8/20/2013
5429,1948,Married,"$45,579.00 ",0,1,8/20/2013
977,1957,Together,"$47,320.00 ",0,1,8/1/2013
2793,1976,Divorced,"$70,179.00 ",0,1,7/21/2013
1071,1976,Divorced,"$70,179.00 ",0,1,7/21/2013
5074,1986,Married,"$28,072.00 ",1,0,7/8/2013
2632,1954,Married,"$50,501.00 ",1,1,6/18/2013
6404,1969,Together,"$58,917.00 ",1,2,3/24/2013
10240,1949,Together,"$69,372.00 ",0,0,2/19/2013
2521,1971,Married,"$35,178.00 ",1,0,1/10/2013
4301,1971,Married,"$35,178.00 ",1,0,1/10/2013
7381,1968,Divorced,"$75,693.00 ",0,0,12/6/2012
2407,1982,Married,"$69,109.00 ",0,0,11/9/2012
9064,1982,Married,"$69,109.00 ",0,0,11/9/2012
5067,1994,Together,"$80,134.00 ",0,0,2/14/2014
10281,1970,Divorced,"$64,713.00 ",1,0,2/7/2014
11191,1986,Divorced,"$41,411.00 ",0,0,12/7/2013
1994,1983,Married,,1,0,11/15/2013
2552,1955,Single,"$55,521.00 ",1,2,10/22/2013
6720,1968,Together,"$43,795.00 ",0,1,10/16/2013
4557,1970,Together,"$22,070.00 ",1,0,10/4/2013
1183,1949,Married,"$36,408.00 ",1,1,9/21/2013
4186,1950,Together,"$34,026.00 ",1,1,8/5/2013
1419,1950,Together,"$34,026.00 ",1,1,8/5/2013
967,1976,Married,"$46,049.00 ",1,1,7/21/2013
1048,1972,Married,"$35,641.00 ",1,0,7/14/2013
9262,1984,Together,"$32,414.00 ",0,0,7/4/2013
3427,1955,Married,"$59,821.00 ",0,1,4/12/2013
5892,1980,Married,"$34,968.00 ",1,0,4/10/2013
8911,1967,Married,"$56,320.00 ",0,1,4/8/2013
6606,1969,Married,"$70,091.00 ",1,0,3/31/2013
2677,1956,Together,"$46,097.00 ",0,1,3/31/2013
252,1963,Divorced,"$41,003.00 ",0,0,3/17/2013
9860,1959,Together,"$44,911.00 ",0,1,3/15/2013
1388,1975,Single,"$33,249.00 ",1,0,2/20/2013
979,1975,Single,"$33,249.00 ",1,0,2/20/2013
7494,1950,Divorced,"$42,873.00 ",1,1,1/21/2013
10490,1969,Married,"$51,039.00 ",1,1,12/10/2012
3403,1958,Together,"$78,952.00 ",0,1,9/24/2012
2715,1966,Divorced,"$29,435.00 ",1,1,8/6/2012
4828,1954,Divorced,"$79,865.00 ",0,1,6/18/2014
92,1988,Alone,"$34,176.00 ",1,0,5/12/2014
3312,1988,Single,"$34,176.00 ",1,0,5/12/2014
11176,1970,Together,"$65,968.00 ",0,1,5/12/2014
1446,1956,Single,"$86,424.00 ",0,0,4/5/2014
9699,1966,Divorced,"$67,272.00 ",0,1,12/21/2013
9790,1957,Single,"$78,499.00 ",0,0,11/23/2013
2324,1972,Together,"$77,044.00 ",0,1,10/27/2013
5080,1993,Single,"$70,515.00 ",0,0,10/21/2013
4992,1975,Together,"$17,459.00 ",1,0,9/19/2013
7849,1970,Married,"$80,336.00 ",0,0,9/9/2013
4808,1956,Married,"$15,759.00 ",0,0,9/5/2013
10401,1976,Together,"$26,326.00 ",0,0,9/4/2013
7793,1976,Together,"$62,061.00 ",0,1,8/31/2013
9303,1976,Married,"$5,305.00 ",0,1,7/30/2013
6853,1982,Single,"$75,777.00 ",0,0,7/4/2013
7366,1982,Single,"$75,777.00 ",0,0,7/4/2013
9780,1971,Together,"$71,499.00 ",0,1,6/25/2013
7573,1978,Single,"$31,626.00 ",1,0,5/10/2013
1379,1992,Together,"$42,670.00 ",0,0,4/27/2013
8923,1973,Single,"$83,917.00 ",0,0,4/18/2013
3547,1969,Together,"$41,021.00 ",1,0,12/30/2012
8707,1956,Married,"$79,456.00 ",0,0,8/22/2012
1891,1980,Divorced,"$78,789.00 ",0,0,8/8/2012
6271,1952,Married,"$50,870.00 ",0,1,6/19/2014
9635,1983,Married,"$35,876.00 ",0,0,4/20/2014
9727,1957,Married,"$23,539.00 ",0,0,2/28/2014
6205,1967,Single,"$32,557.00 ",1,0,2/24/2014
10681,1970,Married,"$62,466.00 ",0,1,1/15/2014
5156,1970,Married,"$62,466.00 ",0,1,1/15/2014
3050,1966,Married,"$54,198.00 ",1,1,12/17/2013
8164,1978,Married,"$82,170.00 ",0,0,11/25/2013
5626,1964,Single,"$61,798.00 ",0,0,11/23/2013
7600,1992,Single,"$15,253.00 ",1,0,10/28/2013
6406,1988,Married,"$78,285.00 ",0,0,10/28/2013
7002,1955,Single,"$62,535.00 ",0,1,10/3/2013
8234,1973,Together,"$27,190.00 ",1,0,8/15/2013
6116,1968,Married,"$48,985.00 ",0,1,7/5/2013
291,1970,Married,"$72,940.00 ",0,0,6/19/2013
8779,1985,Married,"$36,145.00 ",1,0,6/16/2013
4931,1977,Together,"$157,146.00 ",0,0,4/29/2013
1650,1960,Married,"$81,843.00 ",0,0,4/22/2013
9701,1988,Together,"$41,883.00 ",1,0,3/19/2013
6431,1964,Married,"$45,759.00 ",1,1,2/23/2013
10789,1964,Married,"$45,759.00 ",1,1,2/23/2013
5302,1986,Together,"$78,394.00 ",0,0,2/15/2013
4459,1989,Single,"$30,279.00 ",1,0,12/30/2012
10642,1989,Single,"$30,279.00 ",1,0,12/30/2012
9213,1970,Widow,"$31,880.00 ",1,0,10/31/2012
3678,1973,Widow,"$60,208.00 ",1,1,10/7/2012
3698,1983,Together,"$78,687.00 ",0,0,8/9/2012
5929,1973,Married,"$37,401.00 ",1,0,5/6/2014
10795,1973,Married,"$37,401.00 ",1,0,5/6/2014
4390,1954,Together,"$75,315.00 ",0,1,4/15/2014
9362,1965,Single,"$69,263.00 ",0,1,3/5/2014
1577,1946,Married,"$78,569.00 ",0,0,2/19/2014
4609,1966,Married,"$57,705.00 ",0,1,1/11/2014
7143,1955,Together,"$74,805.00 ",0,1,11/6/2013
1729,1961,Together,"$66,426.00 ",0,1,10/2/2013
10664,1949,Widow,"$51,529.00 ",0,1,9/7/2013
5029,1946,Married,"$18,100.00 ",0,0,8/6/2013
10507,1977,Divorced,"$59,601.00 ",0,1,7/25/2013
3865,1977,Together,"$20,981.00 ",0,0,4/30/2013
6982,1976,Married,"$74,068.00 ",0,0,3/19/2013
7042,1983,Married,"$36,790.00 ",0,0,3/1/2013
9668,1971,Married,"$18,793.00 ",1,0,1/12/2013
6878,1954,Widow,"$27,421.00 ",0,0,12/12/2012
4099,1972,Married,"$30,675.00 ",1,0,11/12/2012
5031,1974,Together,"$83,145.00 ",0,0,9/22/2012
1970,1968,Together,"$34,053.00 ",0,1,9/10/2012
5726,1983,Single,"$31,788.00 ",1,0,3/20/2014
5231,1974,Married,"$45,894.00 ",0,2,2/27/2014
1307,1978,Divorced,"$41,986.00 ",0,1,2/9/2014
10609,1962,Married,"$42,769.00 ",0,1,10/12/2013
5782,1982,Together,"$58,582.00 ",0,1,9/28/2013
7533,1964,Married,"$49,096.00 ",1,1,9/24/2013
9493,1980,Single,"$76,412.00 ",0,0,5/5/2013
2253,1990,Married,"$18,929.00 ",0,0,2/16/2013
2326,1990,Married,"$18,929.00 ",0,0,2/16/2013
1876,1990,Married,"$18,929.00 ",0,0,2/16/2013
7141,1986,Single,"$21,888.00 ",1,0,12/29/2012
7393,1978,Together,"$41,580.00 ",1,1,12/10/2012
4713,1979,Married,"$31,605.00 ",1,0,11/22/2012
5093,1974,Divorced,"$25,509.00 ",1,0,9/18/2012
8524,1974,Divorced,"$25,509.00 ",1,0,9/18/2012
3766,1959,Widow,"$33,051.00 ",0,0,8/16/2012
9725,1966,Together,"$28,764.00 ",1,1,6/5/2014
8933,1983,Married,"$32,146.00 ",1,0,5/12/2014
10779,1983,Single,"$22,148.00 ",0,0,4/13/2014
9289,1979,Married,"$36,781.00 ",1,0,4/10/2014
2613,1960,Married,"$54,197.00 ",0,1,4/3/2014
10133,1970,Single,"$93,790.00 ",0,0,2/12/2014
8443,1972,Single,"$24,762.00 ",1,0,2/10/2014
10796,1984,Married,"$30,477.00 ",1,0,1/22/2014
10241,1975,Divorced,"$11,448.00 ",0,0,12/15/2013
3388,1967,Divorced,"$70,844.00 ",1,1,10/30/2013
6507,1980,Single,"$30,828.00 ",1,0,10/4/2013
7446,1967,Together,"$62,513.00 ",0,1,9/9/2013
87,1981,Married,"$27,733.00 ",1,0,8/26/2013
10477,1973,Together,"$39,435.00 ",1,0,8/6/2013
6072,1970,Single,"$75,345.00 ",0,0,2/2/2013
2518,1986,Together,"$20,491.00 ",0,0,1/25/2013
247,1971,Married,"$36,715.00 ",1,0,11/17/2012
9463,1959,Together,"$71,706.00 ",0,1,11/13/2012
1459,1966,Married,"$69,063.00 ",0,1,11/7/2012
9530,1988,Married,"$24,645.00 ",1,0,11/1/2012
9653,1975,Married,"$35,797.00 ",0,1,10/16/2012
10785,1969,Married,"$44,078.00 ",1,1,6/19/2014
9392,1971,Single,"$26,954.00 ",1,0,5/8/2014
3769,1972,Together,,1,0,3/2/2014
10146,1972,Together,"$38,887.00 ",1,0,3/2/2014
4741,1974,Married,"$65,463.00 ",1,0,1/30/2014
1880,1959,Together,"$53,537.00 ",1,1,1/30/2014
6471,1971,Single,"$36,230.00 ",1,0,10/17/2013
5718,1950,Married,"$80,763.00 ",0,0,8/15/2013
3478,1971,Married,"$60,585.00 ",1,1,6/24/2013
7848,1974,Single,"$49,166.00 ",0,1,6/13/2013
7999,1955,Together,"$75,261.00 ",0,0,4/23/2013
11101,1991,Together,"$89,891.00 ",0,0,4/15/2013
9212,1962,Married,"$72,828.00 ",0,1,2/14/2013
10983,1952,Together,"$75,278.00 ",0,0,1/29/2013
3629,1978,Single,"$38,557.00 ",1,0,12/19/2012
4673,1963,Married,"$81,300.00 ",0,1,10/30/2012
796,1965,Divorced,"$60,161.00 ",0,1,10/23/2012
618,1977,Married,"$69,389.00 ",0,1,9/28/2012
380,1954,Divorced,"$64,497.00 ",0,1,9/10/2012
1092,1980,Married,"$61,014.00 ",0,1,8/11/2012
8962,1975,Married,"$44,319.00 ",1,1,4/17/2014
8207,1957,Married,"$53,233.00 ",0,1,3/18/2014
6521,1954,Together,"$77,972.00 ",0,0,3/18/2014
535,1987,Divorced,"$81,361.00 ",0,0,2/25/2014
4608,1987,Divorced,"$81,361.00 ",0,0,2/25/2014
11086,1984,Single,"$25,707.00 ",1,0,1/18/2014
1064,1971,Married,"$42,403.00 ",1,0,12/11/2013
7000,1972,Single,"$65,704.00 ",0,0,10/13/2013
1581,1980,Married,"$37,406.00 ",1,0,10/10/2013
7384,1951,Together,"$39,767.00 ",0,0,7/21/2013
10552,1979,Married,"$54,210.00 ",0,1,5/20/2013
6409,1967,Divorced,"$57,136.00 ",0,0,5/18/2013
9507,1975,Married,"$40,794.00 ",0,1,4/7/2013
9560,1965,Together,"$83,003.00 ",0,0,3/3/2013
10991,1960,Married,"$89,058.00 ",0,0,12/7/2012
4712,1991,Together,"$20,193.00 ",0,0,11/28/2012
11056,1974,Married,"$72,099.00 ",0,0,10/27/2012
7414,1971,Married,"$43,824.00 ",1,1,9/15/2012
3076,1975,Together,"$66,653.00 ",1,1,9/7/2012
6355,1978,Married,"$44,359.00 ",1,1,6/17/2014
7959,1961,Married,"$79,410.00 ",0,0,5/29/2014
5512,1977,Married,"$55,842.00 ",0,1,5/23/2014
10102,1966,Widow,"$79,946.00 ",0,0,5/12/2014
9369,1979,Single,"$88,194.00 ",0,1,3/19/2014
3711,1944,Married,"$80,184.00 ",0,0,3/1/2014
6931,1967,Divorced,"$76,982.00 ",0,0,2/15/2014
9596,1980,Single,"$65,295.00 ",0,0,12/23/2013
2727,1973,Together,"$57,100.00 ",0,0,12/4/2013
8416,1981,Married,"$29,009.00 ",1,0,11/29/2013
3967,1971,Married,"$78,931.00 ",0,0,10/25/2013
2139,1975,Married,"$7,500.00 ",1,0,10/2/2013
2162,1976,Married,"$56,939.00 ",0,1,9/18/2013
9242,1990,Single,"$64,509.00 ",0,0,8/17/2013
10595,1990,Married,"$30,093.00 ",0,0,7/8/2013
4855,1974,Together,"$30,351.00 ",1,0,6/6/2013
5049,1974,Together,"$30,351.00 ",1,0,6/6/2013
4967,1960,Together,"$38,201.00 ",0,1,3/29/2013
5255,1986,Single,,1,0,2/20/2013
9215,1980,Married,"$43,974.00 ",1,0,12/12/2012
3525,1970,Together,"$38,200.00 ",1,1,12/7/2012
3619,1960,Divorced,"$87,305.00 ",0,0,9/23/2012
4415,1961,Married,"$16,860.00 ",1,1,9/12/2012
3645,1972,Single,"$27,213.00 ",1,0,8/30/2012
4692,1976,Married,"$7,500.00 ",1,0,8/1/2012
3955,1965,Divorced,"$4,861.00 ",0,0,6/22/2014
5313,1971,Married,"$38,196.00 ",1,1,4/18/2014
7196,1950,Married,"$41,145.00 ",1,1,2/8/2014
1381,1982,Single,"$38,513.00 ",1,0,1/28/2014
10951,1968,Married,"$45,688.00 ",0,1,1/25/2014
4322,1958,Together,"$77,863.00 ",0,0,11/27/2013
